Report group,Report,Extended Description,Type,Purpose,extended Purpose,Primary Audience,Owner,link,Url,rank
CNR Report,Sales Labour,sales by labour,CNR,CNR,"Focuses on sales figures, potentially grouped by product or time. filter by ",CNR,Chris,Sales Labour - CNR report - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/204f7c4b-8c8d-49ff-a096-48ed9750d528/ReportSectionade2dbbe583b071d6cc2?redirectedFromSignup=1&experience=power-bi,4
CNR Report,Budget table,Employee budgets,CNR,CNR,"Shows budget-related figures over time, potentially for planning or performance comparison. filter by ",CNR,Chris,Budget table - CNR report - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/204f7c4b-8c8d-49ff-a096-48ed9750d528/ReportSectionf392e22033323600b611?redirectedFromSignup=1&experience=power-bi,4
CNR Report,GMROI,CNR GMROI by product / category,CNR,CNR,"Focuses on sales figures, potentially grouped by product or time. filter by ",CNR,Chris,GMROI - CNR report - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/204f7c4b-8c8d-49ff-a096-48ed9750d528/ReportSectiond573f32711405e337095?redirectedFromSignup=1&experience=power-bi,4
CNR Report,Stock Service,CNR stock vs service,CNR,CNR,Customer stock and service and the ratio,CNR,Chris,Stock Service - CNR report - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/204f7c4b-8c8d-49ff-a096-48ed9750d528/ReportSectionf265b16091cebbd04b3d?redirectedFromSignup=1&experience=power-bi,4
CNR Report,Slow Movers,Slow moving stock,CNR,CNR,CNR quantity on hand weeks of cover and stock turn for slow movers,CNR,Chris,Slow Movers - CNR report - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/204f7c4b-8c8d-49ff-a096-48ed9750d528/73901d197373c7c3a135?redirectedFromSignup=1&experience=power-bi,4
Budget Product,Customer Sales,"revenue vs prior period by stock group focused on sales order performance, showing high-value customer transactions over a recent period. It provides insights into which customers and sales reps are generating the most revenue.",Standard report,Sales,revenue vs previous comparable quarter by stock group,Sales,Jimmy,Customer Sales - Budgets Product - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/43a75d75-4c18-4c07-b198-f782f6c8afc0/ReportSection1a0f37503e7c8f4e2895?experience=power-bi,5
Budget Product,Back order vs sales,compares back orders with sales,Standard report,Sales,,Sales,Jimmy,Back Orders vs Sales - Budgets Product - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/43a75d75-4c18-4c07-b198-f782f6c8afc0/ReportSectiondb3978c0e0703a50a802?experience=power-bi,5
Copper Price,US RR vs HC,Compares Ram Ratana vs Henry cables costs for standard MC05 product in USD,Standard report,Pricing Meeting,historic trend of copper prices filter by ,Sales,Scott,US RR vs HC - Copper Price - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/1ee56ba9-0fe1-4fd5-9f8f-8e391797aa03/ReportSectiond3071ae2ee4751186b02?experience=power-bi,5
Copper Price,NZD RR vs HC,Compares Ram Ratana vs Henry cables costs for standard MC05 product in NZD,Standard report,Pricing Meeting,historic trend of copper prices filter by ,Sales,Scott,NZD RR vs HC - Copper Price - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/1ee56ba9-0fe1-4fd5-9f8f-8e391797aa03/24f0631b847003e9c770?experience=power-bi,5
Picks,Dispatch KPI 2,picking accuracy  vs target with and picking slips count as a warehouse KPI,HOD report,HOD report," product or group breakdown, time-based trend   filter by Period",HOD,Dan,Dispatch KPI 2 - Picks - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/622c309f-f3b3-421f-b985-216a0429e42b/ReportSectioncd49956179f25644edef?experience=power-bi,3
Picks,Picks vs days,Line graph by day tracking for Picks,HOD report,HOD report,"Warehouse performance regarding picks product or group breakdown, time-based trend   filter by Transaction Date, Working Day",HOD,Dan,Picks vs days - Picks - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/622c309f-f3b3-421f-b985-216a0429e42b/ReportSection2c08f89ce6048c358797?experience=power-bi,6
Picks,Cuts vs days,Line graph by day tracking for Cuts,HOD report,HOD report,"Warehouse performance regarding cuts product or group breakdown, time-based trend   filter by Transaction Date, User, Working Day",HOD,Dan,Cuts vs days - Picks - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/622c309f-f3b3-421f-b985-216a0429e42b/ReportSection0e5737632ea6a0c62305?experience=power-bi,6
Picks,Dispatched vs Days,Line graph by day tracking for Dispatches,HOD report,HOD report,"Warehouse performance regarding Dispatched product or group breakdown, time-based trend   filter by Transaction Date, Working Day",HOD,Dan,Dispatched vs Days - Picks - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/622c309f-f3b3-421f-b985-216a0429e42b/ReportSection5fedc95dd77ee582408b?experience=power-bi,6
Budget Product,Volume Graph,HOD report Volume actual budget and LY line graph,HOD report,HOD report,"HOD meeting performance graph product or group breakdown, sales performance tracking, time-based trend  , volume comparison filter by Period Date, Rundown, Sht Category, Sht Class, Top Line",HOD,Paul,Volume Graph - Budgets Product - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/43a75d75-4c18-4c07-b198-f782f6c8afc0/ReportSection155aba6b1ecd1ac6cdd7?experience=power-bi,6
Budget Product,Revenue Graph,HOD report Sales actual budget and LY  line graph,HOD report,HOD report,"HOD meeting performance graph product or group breakdown, sales performance tracking, time-based trend   filter by Period Date, Rundown, Sht Category, Sht Class, Top Line",HOD,Paul,Revenue Graph - Budgets Product - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/43a75d75-4c18-4c07-b198-f782f6c8afc0/ReportSection8957bd94ace49cc25a43?experience=power-bi,6
Budget Product,Product sales by Margin % graph,HOD report Margin actual budget and LY  line graph,HOD report,HOD report,"HOD meeting performance graph margin  , product or group breakdown, sales performance tracking, time-based trend   filter by Period Date, Rundown, Sht Category, Sht Class, Top Line",HOD,Paul,Product sales by Margin % graph - Budgets Product - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/43a75d75-4c18-4c07-b198-f782f6c8afc0/ReportSection302c15618488b4b5ed55?experience=power-bi,6
Budget Product,Stock group sales 3mth comparison,HOD report Stock group sales volume revenue and last year for the last 3 months,HOD report,HOD report,"HOD meeting Budget margin fixed to last 3 months by group margin  , product or group breakdown, sales performance tracking filter by Rundown, Top Line",HOD,Paul,Stock group sales 3mth comparison - Budgets Product - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/43a75d75-4c18-4c07-b198-f782f6c8afc0/ReportSection470fc9f74d2030366187?experience=power-bi,6
Budget Product,5 Quarterly Sales,HOD report Quarterly sales LY actual and budget,HOD report,HOD report,"HOD meeting Line graph for quarterly sales product or group breakdown, sales performance tracking, time-based trend   filter by Quarter Date, Rundown, Sht Category, Sht Class, Top Line",HOD,Paul,5 Quarterly Sales - Budgets Product - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/43a75d75-4c18-4c07-b198-f782f6c8afc0/ReportSectionb9856bf6e391983cb537?experience=power-bi,6
Sales Reports,Assembly Sales YTD,Assembly graph of sales units vs the previous year by month,HOD report,HOD report,"For Reporting to HOD meetings. To review  Assembly staff resourcing product or group breakdown, sales performance tracking, time-based trend   filter by Base Product Code, Item Type Code, Roll Year, Transaction Date",HOD,Richard,Assembly Sales YTD - Sales Reports - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/6dc87e13-0058-41a6-a693-98df774ddde3/ReportSectionc0e414a4deb6b885c789?experience=power-bi,6
Sales Reports,Revenue by BDM,HOD meeting revenue by rep actual vs budget,HOD report,HOD report,"HOD meeting  YTD Revenue report with highlighting by rep margin  , sales performance tracking, time-based trend   filter by B4Bom, Rep Name, Tmly",HOD,Paul,Revenue by BDM - Sales Reports - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/6dc87e13-0058-41a6-a693-98df774ddde3/ReportSection?experience=power-bi,6
Sales Reports,Revenue By Region,HOD meeting revenue by region actual vs budget,HOD report,HOD report,"HOD meeting  YTD Revenue report with highlighting by region sales performance tracking, time-based trend   filter by B4Bom, Region",HOD,Paul,Revenue By Region - Sales Reports - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/6dc87e13-0058-41a6-a693-98df774ddde3/ReportSection2fe1293ccab251acb088?experience=power-bi,6
Sales Reports,Revenue By Region Graph,HOD meeting revenue by region line graph,HOD report,HOD report,"HOD meeting  product or group breakdown, sales performance tracking, time-based trend   filter by Period Date, Region",HOD,Paul,Revenue By Region Graph - Sales Reports - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/6dc87e13-0058-41a6-a693-98df774ddde3/ReportSection582599dfe6c050310174?experience=power-bi,6
Sales Reports,Revenue by Customer Group,HOD meeting revenue by customer,HOD report,HOD report,"HOD meeting  YTD Revenue report with highlighting by customer margin  , sales performance tracking filter by B4Bom, Customer Group, Tmly",HOD,Paul,Revenue by Customer Group - Sales Reports - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/6dc87e13-0058-41a6-a693-98df774ddde3/ReportSection3542708aced03c8ec099?experience=power-bi,6
Sales Reports,Revenue by Customer Group Graph,HOD meeting revenue by customer graph,HOD report,HOD report,"HOD meeting  product or group breakdown, sales performance tracking, time-based trend   filter by Customer Group, Period Date, Super Group",HOD,Paul,Revenue by customer group graph - Sales Reports - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/6dc87e13-0058-41a6-a693-98df774ddde3/ReportSection9bef7e1c6a006044071a?experience=power-bi,6
Budget Product,Wholesale Group Sales Report ,sales by group for a customer,Standard report,Sales,,Sales,Jimmy,Wholesale Group Ranking - Budgets Product - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/43a75d75-4c18-4c07-b198-f782f6c8afc0/ReportSectionbe89a0c1669e86850e3d?experience=power-bi,7
DIFOT,Cutoff,cut offs of our carriers,Analysts report,,table of cutoffs for carriers,,Scott,Cutoff - DIFOT - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/71e409eb-aa60-49ca-b896-baa0074121ea/dd31d1f758e0ddf2c378?experience=power-bi,7
Picks,Average Picks,Data per user for picks,Analysts report,Operations," time-based trend filter by Cutpick, Transaction Date, Login Id",Operations,Scott,Average Picks - Picks - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/622c309f-f3b3-421f-b985-216a0429e42b/ReportSectionf9ba9cb8489a1367b402?experience=power-bi,7
Picks,Ave Cuts,Data per user for cuts,Analysts report,Operations," time-based trend   filter by Despcut, Transaction Date, Login Id",Operations,Scott,Ave cuts - Picks - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/622c309f-f3b3-421f-b985-216a0429e42b/ReportSection047051345e643d8ad740?experience=power-bi,7
Quotes,Quotes Pipeline,Quotes in the pipeline,Standard report,Projects team analysis," product or group breakdown, time-based trend   filter by ",,Kane,Quotes Pipeline - Quotes - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/57c64f73-b3a0-4c1e-a6d9-86a963e7b16e/16d6d63e31342df86bf0?experience=power-bi,7
Quotes,Quotes Pipeline Prod,"stock codes merged with their X article counterparts, quote quantities",Standard report,Projects team analysis," product or group breakdown, sales performance tracking, time-based trend   filter by ",,Kane,Quotes Pipeline Prod - Quotes - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/57c64f73-b3a0-4c1e-a6d9-86a963e7b16e/1cc223061d150a95227b?experience=power-bi,7
Quotes,Quotes vs sales,quote totals by stock group vs sales,Standard report,Projects team analysis," product or group breakdown, sales performance tracking, time-based trend   filter by ",,Kane,Quotes vs sales - Quotes - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/57c64f73-b3a0-4c1e-a6d9-86a963e7b16e/b59171abe448cf6ff927?experience=power-bi,7
Quotes,Quotes by stock group,quote totals by stock group,Standard report,Projects team analysis," product or group breakdown, time-based trend   filter by ",,Kane,Quotes by stock group - Quotes - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/57c64f73-b3a0-4c1e-a6d9-86a963e7b16e/20b0cbd0317dec7284cb?experience=power-bi,7
Quotes,Quotes Item,quotes with breakdowns by value,Standard report,Projects team analysis," margin  , product or group breakdown, time-based trend   filter by ",,Kane,Quotes Item - Quotes - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/57c64f73-b3a0-4c1e-a6d9-86a963e7b16e/574efa0fd8c802096910?experience=power-bi,7
Quotes,Sales by item,,Standard report,Projects team analysis," product or group breakdown, sales performance tracking, time-based trend   filter by ",,Kane,Sales by item - Quotes - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/57c64f73-b3a0-4c1e-a6d9-86a963e7b16e/d4bf4ff0239ad6c50b54?experience=power-bi,7
Quotes,BDM,quotes made and owned by different people,Standard report,Projects team analysis," product or group breakdown, time-based trend   filter by ",,Kane,BDM - Quotes - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/57c64f73-b3a0-4c1e-a6d9-86a963e7b16e/7766b249bd2591c288b1?experience=power-bi,7
Quotes,WS groups,quotes quantity and volume by group,Standard report,Projects team analysis," product or group breakdown, time-based trend   filter by ",,Kane,WS groups - Quotes - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/57c64f73-b3a0-4c1e-a6d9-86a963e7b16e/5367d131742cfd3b95f4?experience=power-bi,7
Quotes,Product Pipeline,Quotes in the pipeline by product with the drill down to quote line level,Standard report,Projects team analysis," margin  , product or group breakdown, sales performance tracking filter by ",,Kane,Product Pipeline - Quotes - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/57c64f73-b3a0-4c1e-a6d9-86a963e7b16e/fb1fab01d644715b4e9f?experience=power-bi,7
Quotes,Product Pipeline Grp,,Standard report,Projects team analysis," margin  , product or group breakdown, sales performance tracking filter by ",,Kane,Product Pipeline Grp - Quotes - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/57c64f73-b3a0-4c1e-a6d9-86a963e7b16e/308809e08d2d556649ea?experience=power-bi,7
Quotes,Rep Quotes,,Standard report,Projects team analysis," margin  , product or group breakdown, sales performance tracking, time-based trend   filter by ",,Kane,Rep Quotes - Quotes - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/57c64f73-b3a0-4c1e-a6d9-86a963e7b16e/f25abf7978345cdcc7ab?experience=power-bi,7
